Year,GDP (Billion $),Per Capita ($),Growth (%),ICS_ALL
2020,21060.47,63529,-2.77,81.6
2019,21380.98,65120,2.29,96.0
2018,20533.06,62823,2.95,98.4
2017,19477.34,59908,2.24,96.8
2016,18695.11,57867,1.67,91.9
2015,18206.02,56763,2.71,92.9
2014,17550.68,55124,2.29,84.1
2013,16843.19,53291,1.84,79.2
2012,16253.97,51784,2.28,76.6
2011,15599.73,50066,1.55,67.3
2010,15048.96,48651,2.71,71.8
2009,14478.06,47195,-2.6,66.3
2008,14769.86,48570,0.12,63.7
2007,14474.23,48050,2.01,85.6
2006,13815.59,46302,2.78,87.3
2005,13039.2,44123,3.48,88.5
2004,12217.19,41725,3.85,95.2
2003,11456.44,39490,2.8,87.6
2002,10929.11,37998,1.7,89.6
2001,10581.93,37134,0.95,89.2
2000,10250.95,36330,4.08,107.6
